"","symbol","message_count","bytes","seconds_spent"
"215","NEAR-USDT",7,2857,120
"216","DNT-USD",1,421,120
"217","FLR-USD",10,4193,120
"218","XLM-BTC",1,437,120
"219","LTC-BTC",1,439,120
"220","CBETH-USD",2,841,120
"221","HOPR-USD",1,414,120
"222","TRB-USD",1,413,120
"223","GAL-USD",4,1638,120
"224","MNDE-USD",1,422,120
"225","CVC-USD",10,4129,120
"226","ICP-USD",133,55631,120
"227","DESO-USD",64,25841,120
"228","ICP-BTC",3,1300,120
"229","VET-USD",13,5435,120
"230","CGLD-EUR",1,406,120
"231","ADA-ETH",1,429,120
"232","YFI-USD",16,6680,120
"233","DIA-USD",3,1254,120
"234","CGLD-USD",2,831,120
"235","GMT-USDT",1,409,120
"236","FET-USDT",38,15630,120
"237","XLM-USDT",4,1664,120
"238","ZEN-USD",6,2451,120
"239","XRP-USD",22,9569,120
"240","BTC-USD",140,61203,120
"241","NEAR-USD",18,7402,120
"242","USDT-EUR",35,14918,120
"243","FORT-USD",35,14613,120
"244","ONDO-USD",10,4161,120
"245","VARA-USD",4,1667,120
"246","SUPER-USD",44,18562,120
"247","BAT-BTC",1,437,120
"248","GAL-USD",11,4509,120
"249","BAT-EUR",1,420,120
"250","TVK-USD",44,18295,120
"251","ROSE-USDT",1,418,120
"252","CHZ-USD",8,3352,120
"253","NEAR-USDT",1,407,120
"254","ADA-USD",25,10506,120
"255","ICP-GBP",3,1222,120
"256","ARB-USD",45,18720,120
"257","MNDE-USD",3,1265,120
"258","XCN-USD",53,22855,120
"259","LTC-BTC",2,876,120
"260","OCEAN-USD",6,2482,120
"261","CBETH-USD",2,839,120
"262","QNT-USD",18,7383,120
"263","TRB-USD",5,2064,120
"264","LCX-USD",18,7462,120
"265","GRT-BTC",15,6657,120
"266","BLUR-USD",8,3330,120
"267","MANA-USD",3,1255,120
"268","DOGE-EUR",8,3378,120
"269","ORN-USD",54,21905,120
"270","COMP-BTC",1,416,120
"271","FLR-USD",1,418,120
"272","SPA-USD",5,2104,120
"273","JASMY-USD",2,857,120
"274","ATOM-USD",16,6591,120
"275","STORJ-USD",2,837,120
"276","XLM-BTC",6,2628,120
"277","ZRX-USD",1,440,120
"278","ATOM-USDT",2,812,120
"279","SAND-USDT",1,408,120
"280","FLR-USD",5,2090,120
"281","ARB-USD",30,12474,120
"282","TVK-USD",57,23681,120
"283","BTC-USD",187,81729,120
"284","DAR-USD",2,821,120
"285","UNI-EUR",1,399,120
"286","ADA-GBP",1,416,120
"287","SOL-BTC",2,856,120
"288","FLOW-USD",3,1239,120
"289","ANKR-EUR",38,15938,120
"290","AERGO-USD",1,413,120
"291","00-USD",1,422,120
"292","BLZ-USD",4,1656,120
"293","SNT-USD",4,1688,120
"294","OCEAN-USD",17,7061,120
"295","ICP-USD",85,35542,120
"296","SUPER-USD",153,64733,120
"297","ADA-USD",103,43445,120
"298","XRP-USD",22,9532,120
"299","USDT-EUR",87,37098,120
"300","JTO-USD",2,825,120
"301","ZEN-USD",6,2451,120
"302","FET-USDT",47,19350,120
"303","LCX-USD",23,9507,120
"304","AVAX-USDT",5,2045,120
"305","NEAR-USD",17,6996,120
"306","FORT-USD",156,65280,120
"307","BLUR-USD",10,4163,120
"308","VARA-USD",6,2495,120
"309","CGLD-USD",3,1248,120
"310","DOGE-EUR",6,2526,120
"311","VET-USD",15,6288,120
